CELL_LINE_NAME	AEW541	Nilotinib	17-AAG	PHA-665752	Lapatinib	Nutlin-3	AZD0530	PF2341066	L-685458	ZD-6474	Panobinostat	Sorafenib	Irinotecan	Topotecan	LBW242	PD-0325901	PD-0332991	Paclitaxel	AZD6244	PLX4720	RAF265	TAE684	TKI258	Erlotinib
IM95	0	0	-1	-1	0	1	0	0	-1	-1	-1	1		-1	0	-1	-1	-1	-1	0	0	1	0	-1
IMR-32	0	0	0	1	1	0	0	0	1	0	-1	1		-1	1	0	0	-1	1	0	0	-1	0	1
IPC-298	0	1	-1	1	1	1	1	1	1	0	-1	0	-1	-1	1	-1	1	-1	-1	0	-1	1	0	0
Ishikawa (Heraklio) 02 ER-	0		-1	0	0	0	0	0	0	0	-1	0		-1	0	0		-1	0	0		0	0	0
IST-MES1	0	0	0	1	0	0	0	0	1	0	-1	0	-1	-1	1	1	0	-1	1	1	0	0	0	1
IST-MES2	0	0	-1	1	0	0	0	0	1	0	-1	0	-1	-1	1	0	0	-1	1	0	-1	0	0	1
J82	0		-1	0	1	1	1	1	1	0	-1	1		-1	0	0	1	-1	0	1	0	1	0	1
JHH-2	0	1	0	1	1	1	0	1	1	0	-1	1	-1	-1	1	0	1	-1	1	1	0	1	0	1
JHH-4	0	0	0	0	0	1	0	1	1	0	-1	0	-1	-1	0	0	1	-1	0	0	0	1	1	1
JHH-5	0		-1	1	0	1	0	1	1	-1	-1	1		-1	1	-1		-1	0	1	0	0	1	0
JHH-6	1	1	-1	1	1	1	1	1	1	0	-1	1	0	1	1	1	1	-1	1	1	1	1	1	1
JHH-7	0		-1	0	0	0	0	0		0	-1	0		-1	0	-1		-1	0	0		-1	0	0
JHOS-2	0	0	0	0	0	1	1	1	0	0	-1	1		-1	0	0	1	-1	0	0	0	0	0	1
JHOS-4	0	0	0	1	0	0	0	0	1	0	-1	1		-1	-1	0	1	-1	0	1	0	0	0	0
JHUEM-2	1		-1	1	1	0	0	0	0	0	-1	1		-1	0	0		-1	1	0		0	0	1
JM1	1	0	-1	1	1	1	1	1	0	1	-1	1		-1	1	1	0	-1	1	1	0	1	1	0
JMSU-1	0	0	-1	0	1	1	0	0	0	0	-1	0	-1	-1	1	0	0	-1	0	0	-1	-1	-1	0
JURKAT	0	0	-1	0	0	0	-1	-1	0	-1	-1	0	-1	-1	0	0	0	-1	0	0	-1	-1	-1	0
JVM-3	0	0	-1	0	0	-1	0	0	0	-1	-1	0	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	0
K029AX	0	0	-1	0	0	0	1	0	1	0	-1	0	-1	-1	1	-1	1	-1	-1	0	-1	0	0	1
KALS-1	1	1	-1	1	0	0	0	0	1	0	-1	1	-1	-1	0	-1	0	-1	0	0	-1	0	0	1
KARPAS-299	1	1	-1	0	1	1	1	0	1	1	-1	1		-1	0	0	1	-1	0	1	0	-1	1	1
KARPAS-422	0	1	-1	0	1	1	0	0	0	1	-1	1	-1	-1	1	0	1	-1	0	1	-1	0	0	1
KARPAS-620	-1	1	-1	0	1	1	0	0	0	0	-1	0	-1	-1	0	-1	0	-1	-1	1	0	-1	1	0
KASUMI-2	0	0	-1	0	1	0	0	0	0	0	-1	0	-1	-1	0	-1	0	-1	0	0	-1	0	0	0
KCI-MOH1	0		-1	0	0	0	0	0	1	0	-1	0		-1	0	-1		-1	0	1		-1	0	0
KCL-22	0	-1	-1	0	0	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	0	-1	-1	1	-1	-1	0	0
KE-39	0	0	-1	1	0	1	1	1	1	0	-1	1		0	1	0	0	-1	1	1	0	0	0	0
KE-97	0	1	-1	1	1	0	0	0	0	0	-1	0	-1	-1	1	1	0	-1	1	0	-1	0	0	0
KELLY	0		-1	1	1	1	1	0	1	0	-1	1		-1	1	0		-1	1	1		0	1	1
KG-1	0	0	-1	0	0	0	1	0	1	-1	-1	0	-1	-1	0	-1	0	-1	0	0	-1	-1	-1	0
KHM-1B	-1	0	-1	0	0	0	1	0	0	0	-1	0	-1	-1	1	-1	0	-1	-1	1	0	-1	0	0
KLE	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	-1	1	1	0	1	0	0
KMBC-2	1	1	-1	0	1	1	1	1	1	0	-1	1	-1	-1	0	-1	1	-1	0	1	0	1	0	1
KMM-1	0	0	-1	0	0	1	0	0	0	0	-1	0	-1	-1	1	-1	0	-1	-1	1	0	-1	0	1
KMRC-1	0	1	-1	1	1	0	0	1	0	0	-1	1	-1	-1	1	0	0	-1	0	1	0	0	0	0
KMRC-2	0	1	-1	1	0	0	-1	0	1	-1	-1	1	0	-1	1	0	1	-1	0	0	0	0	0	0
KMS-11	-1	-1	-1	0	0	0	1	0	0	-1	-1	-1	-1	-1	0	0	0	-1	0	0	-1	-1	-1	1
KMS-12-BM	-1	0	-1	1	0	0	1	1	0	0	-1	1		-1	1	0	-1	-1	0	1	-1	0	0	0
KMS-26	-1	0	-1	1	0	0	1	0	0	0	-1	0	-1	-1	1	0	-1	-1	0	1	0	-1	0	0
KMS-34	-1	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	1	0	-1	0	0	0	-1	0	1
KNS-42	0	1	-1	0	1	1	0	1	1	0	-1	1	-1	-1	0	0	0	-1	0	0	0	0	0	1
KNS-60	0	1	-1	0	1	1	1	1	1	0	-1	1	-1	-1	0	0	0	-1	0	1	0	0	0	1
KNS-62	0		-1	0	1	1	1	1	1	0	-1	1		-1	0	0		-1	0	1	0	1	1	1
KNS-81	0	0	-1	0	1	0	0	1	0	0	-1	1	-1	-1	0	0	0	-1	0	1	0	0	0	0
KO52	0	0	-1	0	1	1	1	0	0	0	-1	0	-1	-1	0	-1	0	-1	-1	0	-1	0	-1	0
KP-1N	0	1	-1	1	1	1	0	1	1	0	-1	0	-1	0	1	1	1	-1	0	1	0	0	1	1
